geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
1,337212,Custom Architectural Woodwork and Millwork Manufacturing,427,0.0001695458912128488,0.31585870042648984,59.51
1,337214,Office Furniture (except Wood) Manufacturing,78,0.00010830377676609099,0.9658269586092386,82.77
1,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",265,0.00022386413603266424,0.44291317112482703,64.06
1,337910,Mattress Manufacturing,165,0.00011449338349970392,0.8787976498566774,80.13
1,337920,Blind and Shade Manufacturing,132,5.219002971493092e-05,1.3414861761087227,91.86
1,339112,Surgical and Medical Instrument Manufacturing,174,0.0008172403367045102,1.0536708802610921,84.99
1,339113,Surgical Appliance and Supplies Manufacturing,295,0.000588746902586558,0.5388147824105624,68.82
1,339114,Dental Equipment and Supplies Manufacturing,134,9.770859267250147e-05,0.9561083485970197,82.56
1,339115,Ophthalmic Goods Manufacturing,127,0.00013942390329977974,1.2465742965670987,89.85
1,339116,Dental Laboratories,443,0.0002838499725603662,-0.13044694276612434,43.02
1,339910,Jewelry and Silverware Manufacturing,300,0.0001525316432314809,-0.4240346290529603,33.62
1,339920,Sporting and Athletic Goods Manufacturing,490,0.00028515787833910926,-0.7631589391287438,23.36
1,339930,"Doll, Toy, and Game Manufacturing",285,8.068860826227944e-05,-0.312906012296973,36.79
1,339940,Office Supplies (except Paper) Manufacturing,164,6.087498300009309e-05,0.6962808501213568,75.26
1,339950,Sign Manufacturing,670,0.0005164047983070468,-0.3644861690143392,35.2
1,339991,"Gasket, Packing, and Sealing Device Manufacturing",209,0.00016627039033713704,0.5115894025650094,67.76
1,339992,Musical Instrument Manufacturing,242,7.480876868678986e-05,0.013696304959239184,48.52
1,339993,"Fastener, Button, Needle, and Pin Manufacturing",76,2.992121290317429e-05,1.1790564337997818,88.27
1,339994,"Broom, Brush, and Mop Manufacturing",99,4.5828330115693904e-05,0.7264733258896803,76.11
1,339995,Burial Casket Manufacturing,84,1.87753316395877e-05,-0.08657616192397151,44.82
1,339999,All Other Miscellaneous Manufacturing,568,0.00045896593619058126,-0.6645708680702285,26.85
1,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,593,0.0008155825087656648,-0.1978463285460798,41.33
1,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,599,0.00105776879855844,-0.5209961028356858,30.34
1,423130,Tire and Tube Merchant Wholesalers,372,0.00020220338067944603,0.40059840580376593,62.37
1,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,536,0.00013548297667698817,-0.3562920488268944,35.31
1,423210,Furniture Merchant Wholesalers,301,0.0002964414338951951,0.23898458873628203,56.45
1,423220,Home Furnishing Merchant Wholesalers,289,0.00036337982219411015,0.21567339277655498,54.86
1,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",603,0.0006690110151136314,-0.4778137300757071,31.71
1,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",558,0.00039297405865259866,-0.1955633405786587,41.65
1,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",485,0.0002725434712888638,0.6218255495582071,72.62
1,423390,Other Construction Material Merchant Wholesalers,486,0.00021533406632656373,-0.11574731688893856,43.66
1,423410,Photographic Equipment and Supplies Merchant Wholesalers,112,6.75062947554745e-05,1.7438427555571225,97.04
1,423420,Office Equipment Merchant Wholesalers,285,0.00040233591054254894,1.1476273845842915,87.21
1,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,155,0.0013164473213068567,1.3531219321550436,92.07
1,423440,Other Commercial Equipment Merchant Wholesalers,290,0.0003431818561986967,0.8538562597228355,79.7
1,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",270,0.00183227847672849,0.6539557752997464,73.57
1,423460,Ophthalmic Goods Merchant Wholesalers,175,0.0001300161599789964,1.5780760553530173,95.77
1,423490,Other Professional Equipment and Supplies Merchant Wholesalers,229,0.00022092708445934652,1.0613532972805537,85.41
1,423510,Metal Service Centers and Other Metal Merchant Wholesalers,548,0.0007702475115314266,-0.5064932014603445,30.76
1,423520,Coal and Other Mineral and Ore Merchant Wholesalers,151,1.5408047902209765e-05,0.6334013101867448,72.94
1,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",466,0.00115575273981594,0.24669000862407048,56.77
1,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",195,0.00020728585664421068,1.3297764784207473,91.65
1,423690,Other Electronic Parts and Equipment Merchant Wholesalers,217,0.0008242387799065564,0.7661043242683425,77.48
1,423710,Hardware Merchant Wholesalers,404,0.0005425858595973243,0.06112817395196132,49.68
1,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,549,0.0007031485032245958,0.3260013534329835,59.62
1,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,348,0.0004903269927361437,0.680419122151974,74.63
1,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,244,9.423805321574908e-05,1.0320812476827983,84.46
1,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,631,0.0006291657802928015,-0.31672877016010315,36.58
1,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,1420,0.0006811607714266918,-2.1572784833290664,1.59
1,423830,Industrial Machinery and Equipment Merchant Wholesalers,650,0.0020125686991851357,-0.6272978084216896,27.59
1,423840,Industrial Supplies Merchant Wholesalers,557,0.0006287068659844707,-0.29639294365510793,37.21
1,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,507,0.00033610310299269264,0.2455333133528045,56.66
1,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,315,0.0002352911023101035,0.03049415506509771,49.05
1,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,454,0.0003739807427165538,-0.06563495089709298,45.88
1,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,227,0.0001444432785471489,0.5109566677539312,67.65
1,423930,Recyclable Material Merchant Wholesalers,1115,0.0006287412845575955,-1.2946736155289549,10.57
