geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
5,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,13,5.367002835929806e-05,2.375646528685108,97.57
5,336510,Railroad Rolling Stock Manufacturing,62,0.00013046933785847316,-0.5683466939095438,30.13
5,336611,Ship Building and Repairing,38,0.0006234408242963736,0.32280717607860365,67.02
5,336612,Boat Building,104,0.00025603976547551404,-0.19637548101430946,44.5
5,336991,"Motorcycle, Bicycle, and Parts Manufacturing",50,5.910816291301915e-05,0.4113160308254818,70.4
5,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",24,4.991266745983886e-05,1.0688110963489206,85.41
5,336999,All Other Transportation Equipment Manufacturing,66,0.0001222146167373712,-0.6833777591744903,24.95
5,337110,Wood Kitchen Cabinet and Countertop Manufacturing,191,0.0007306890981533036,-1.076411176863317,12.26
5,337121,Upholstered Household Furniture Manufacturing,44,0.00027521664713489125,-0.48042560405156093,33.51
5,337122,Nonupholstered Wood Household Furniture Manufacturing,136,0.00017162821488690022,-0.6246228169738998,27.59
5,337126,Household Furniture (except Wood and Upholstered) Manufacturing,72,5.861483003156344e-05,0.42575583231382463,71.04
5,337127,Institutional Furniture Manufacturing,79,0.0001374218896296862,-0.49305268737438496,32.98
5,337211,Wood Office Furniture Manufacturing,48,8.722813715599468e-05,-0.3584968938212122,37.74
5,337212,Custom Architectural Woodwork and Millwork Manufacturing,128,0.0001695458912128488,0.4395647761316544,71.56
5,337214,Office Furniture (except Wood) Manufacturing,35,0.00010830377676609099,0.6642459108310698,77.06
5,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",94,0.00022386413603266424,-0.06722513295173964,50.11
5,337910,Mattress Manufacturing,73,0.00011449338349970392,0.8985898121652194,81.82
5,337920,Blind and Shade Manufacturing,52,5.219002971493092e-05,0.7872341384049665,79.6
5,339112,Surgical and Medical Instrument Manufacturing,64,0.0008172403367045102,0.8683699378643367,81.08
5,339113,Surgical Appliance and Supplies Manufacturing,101,0.000588746902586558,0.009311527683713123,55.07
5,339114,Dental Equipment and Supplies Manufacturing,51,9.770859267250147e-05,1.2603120553047524,88.69
5,339115,Ophthalmic Goods Manufacturing,42,0.00013942390329977974,0.8472794062940879,80.76
5,339116,Dental Laboratories,117,0.0002838499725603662,-0.3307880400021986,38.69
5,339910,Jewelry and Silverware Manufacturing,82,0.0001525316432314809,-0.07928396352106551,49.15
5,339920,Sporting and Athletic Goods Manufacturing,163,0.00028515787833910926,-0.4809086573271032,33.4
5,339930,"Doll, Toy, and Game Manufacturing",82,8.068860826227944e-05,0.13104816330974667,61.21
5,339940,Office Supplies (except Paper) Manufacturing,61,6.087498300009309e-05,0.35096149533019283,68.29
5,339950,Sign Manufacturing,177,0.0005164047983070468,-0.3673082552674954,37.32
5,339991,"Gasket, Packing, and Sealing Device Manufacturing",83,0.00016627039033713704,-0.30986719272278745,39.96
5,339992,Musical Instrument Manufacturing,74,7.480876868678986e-05,0.5347387681070415,74.21
5,339993,"Fastener, Button, Needle, and Pin Manufacturing",33,2.992121290317429e-05,1.0383551342744826,84.57
5,339994,"Broom, Brush, and Mop Manufacturing",52,4.5828330115693904e-05,-0.029347365727241666,52.64
5,339995,Burial Casket Manufacturing,49,1.87753316395877e-05,-0.8237568910188678,19.77
5,339999,All Other Miscellaneous Manufacturing,148,0.00045896593619058126,-0.4747642166476542,33.83
5,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,194,0.0008155825087656648,-0.7596111562376551,21.99
5,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,135,0.00105776879855844,-0.7149458317629018,24.1
5,423130,Tire and Tube Merchant Wholesalers,122,0.00020220338067944603,-0.2628031688782207,41.54
5,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,173,0.00013548297667698817,-0.6728498363495724,25.69
5,423210,Furniture Merchant Wholesalers,63,0.0002964414338951951,1.2865302145483168,89.01
5,423220,Home Furnishing Merchant Wholesalers,68,0.00036337982219411015,1.109416053972447,86.36
5,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",146,0.0006690110151136314,-0.2534087671587119,42.28
5,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",137,0.00039297405865259866,0.14188786506279777,61.42
5,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",153,0.0002725434712888638,0.2529604215654723,64.69
5,423390,Other Construction Material Merchant Wholesalers,132,0.00021533406632656373,-0.13609711909961833,47.25
5,423410,Photographic Equipment and Supplies Merchant Wholesalers,35,6.75062947554745e-05,1.5943790425321442,92.92
5,423420,Office Equipment Merchant Wholesalers,100,0.00040233591054254894,0.7328139716306111,78.44
5,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,33,0.0013164473213068567,2.145984864090923,96.93
5,423440,Other Commercial Equipment Merchant Wholesalers,78,0.0003431818561986967,0.697662926631809,77.59
5,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",57,0.00183227847672849,1.4612373664035434,91.54
5,423460,Ophthalmic Goods Merchant Wholesalers,51,0.0001300161599789964,1.1865698479792004,87.53
5,423490,Other Professional Equipment and Supplies Merchant Wholesalers,69,0.00022092708445934652,1.3745283506573036,89.96
5,423510,Metal Service Centers and Other Metal Merchant Wholesalers,145,0.0007702475115314266,-1.085079671862967,11.84
5,423520,Coal and Other Mineral and Ore Merchant Wholesalers,70,1.5408047902209765e-05,-0.16616764514120122,45.67
5,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",120,0.00115575273981594,-0.17739864364342942,45.24
5,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",54,0.00020728585664421068,1.1706885291341504,87.21
5,423690,Other Electronic Parts and Equipment Merchant Wholesalers,48,0.0008242387799065564,1.9008121687090822,96.09
5,423710,Hardware Merchant Wholesalers,101,0.0005425858595973243,0.00833783307276874,54.86
5,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,152,0.0007031485032245958,-0.030122132208185843,52.43
5,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,97,0.0004903269927361437,0.5245916726917227,74.1
5,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,96,9.423805321574908e-05,0.43301520851131853,71.25
5,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,229,0.0006291657802928015,-0.7729781890168405,21.46
5,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,336,0.0006811607714266918,-2.023935257400607,1.06
5,423830,Industrial Machinery and Equipment Merchant Wholesalers,147,0.0020125686991851357,-0.9613495857728347,15.64
5,423840,Industrial Supplies Merchant Wholesalers,142,0.0006287068659844707,-0.7312316810508016,23.26
5,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,148,0.00033610310299269264,-0.08750576570326285,48.84
5,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,80,0.0002352911023101035,0.028138826978388064,56.13
5,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,109,0.0003739807427165538,0.25624709708161475,65.01
5,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,61,0.0001444432785471489,0.7328904160506442,78.54
5,423930,Recyclable Material Merchant Wholesalers,254,0.0006287412845575955,-1.2877486489198522,8.46
5,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",36,0.0002166419721053068,0.7387526198273748,78.86
5,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,113,0.0005552002666475697,-0.2766997183406366,40.8
5,424110,Printing and Writing Paper Merchant Wholesalers,59,6.736862046297524e-05,1.263092834912766,88.79
5,424120,Stationery and Office Supplies Merchant Wholesalers,78,0.00022781653551316405,-0.0444360883925123,51.59
5,424130,Industrial and Personal Service Paper Merchant Wholesalers,85,0.00037368818484499283,0.38367432810300617,69.45
5,424210,Drugs and Druggists' Sundries Merchant Wholesalers,45,0.0014984699452774517,1.4629911848990151,91.65
5,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",43,0.0001333891801452285,0.7646608822054689,79.39
5,424340,Footwear Merchant Wholesalers,45,0.00013305073084283445,1.2026228611750114,87.63
5,424350,Clothing and Clothing Accessories Merchant Wholesalers,43,0.0005728742039471633,0.9114585012051595,82.35
5,424410,General Line Grocery Merchant Wholesalers,125,0.0014995828124751542,0.2944623062239905,65.96
5,424420,Packaged Frozen Food Merchant Wholesalers,91,0.00021173732543502036,0.25284614604938765,64.59
5,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,124,0.00020279423285142207,-0.659697689473386,25.9
5,424440,Poultry and Poultry Product Merchant Wholesalers,77,7.231915856409477e-05,0.1149239838605067,60.25
5,424450,Confectionery Merchant Wholesalers,232,0.00038707127336169256,-1.1464307326310197,10.25
5,424460,Fish and Seafood Merchant Wholesalers,71,0.00016877720974639454,1.5169077579109709,92.07
5,424470,Meat and Meat Product Merchant Wholesalers,97,0.00028259943107016456,-0.2759185176235141,40.91
5,424480,Fresh Fruit and Vegetable Merchant Wholesalers,75,0.000575054046911735,0.7807918254412914,79.49
5,424490,Other Grocery and Related Products Merchant Wholesalers,208,0.0014634662564095128,-0.561442182569445,30.44
5,424510,Grain and Field Bean Merchant Wholesalers,231,0.000237419317414988,-2.3685159508562097,0.11
5,424520,Livestock Merchant Wholesalers,274,9.337185245877452e-05,-1.953667399157832,1.48
5,424590,Other Farm Product Raw Material Merchant Wholesalers,133,9.972781562915741e-05,-0.8713291007182155,18.18
5,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,81,0.00018085239248435118,0.026320982344342936,56.03
5,424690,Other Chemical and Allied Products Merchant Wholesalers,144,0.0007096708228317486,-1.1251153115640462,10.99
5,424710,Petroleum Bulk Stations and Terminals,306,0.0002015953192209076,-1.669484379700285,3.81
5,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),272,0.0003929396400794739,-1.6777597699752742,3.59
5,424810,Beer and Ale Merchant Wholesalers,251,0.0006645021820342804,-0.569925267938035,30.02
5,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,82,0.0005816566765228457,1.4409531751693863,90.91
5,424910,Farm Supplies Merchant Wholesalers,324,0.0007078695841715499,-1.981790633489705,1.37
5,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",69,0.00015866388567655247,0.3590725489184165,68.6
5,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",98,0.0002903952378829356,0.03392406180339837,56.87
5,424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,108,0.00014475878213412638,-0.1821073358445303,45.14
5,424950,"Paint, Varnish, and Supplies Merchant Wholesalers",86,0.0001373874710565614,0.35534244583432134,68.5
5,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,87,0.0005237531636691952,0.4813195263379119,73.15
5,425120,Wholesale Trade Agents and Brokers,40,0.002862242804630932,0.6460382674568458,76.43
5,441110,New Car Dealers,307,0.006409862655896346,-0.7981041227664599,20.4
5,441120,Used Car Dealers,273,0.0011915882108677288,-0.9630158604978231,15.43
5,441210,Recreational Vehicle Dealers,251,0.00031837753783341187,-0.8537243121109721,18.6
5,441222,Boat Dealers,215,0.0002389566803478965,-0.643498084883128,26.32
5,441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",343,0.0004793532043381812,-1.24404252292601,9.09
5,441330,Automotive Parts and Accessories Retailers,439,0.0023541214095892577,-1.4155713453190335,6.45
5,441340,Tire Dealers,393,0.0011373273303364546,-1.293528698302991,8.35
5,444110,Home Centers,369,0.004221082335169855,-0.8729014626733258,18.08
5,444120,Paint and Wallpaper Retailers,214,0.00025507604542801917,-0.4129152502392098,36.47
5,444140,Hardware Retailers,453,0.0010515562461094106,-1.4233243581569364,6.34
5,444180,Other Building Material Dealers,309,0.0015454570340216812,-0.9299783781639495,16.07
5,444230,Outdoor Power Equipment Retailers,276,0.00019574416178968872,-0.7889593832348196,20.61
5,444240,"Nursery, Garden Center, and Farm Supply Retailers",433,0.0009675118269674614,-1.4146794336879371,6.55
5,445110,Supermarkets and Other Grocery (except Convenience) Stores,308,0.015186048105554696,-0.7620437080960126,21.88
5,445131,Convenience Retailers,185,0.0010275148727817258,-0.3373781399375069,38.48
5,445132,Vending Machine Operators,179,0.00023696613953551126,-0.7264385070683875,23.36
5,445230,Fruit and Vegetable Retailers,114,0.00022706506333327223,0.2627312927806854,65.22
5,445240,Meat Retailers,223,0.0003741700448687403,-1.3839411450347054,7.29
5,445250,Fish and Seafood Retailers,103,8.793945433390756e-05,0.8406371873150992,80.44
5,445291,Baked Goods Retailers,126,0.0001412595605331033,0.09094592345086942,59.41
5,445292,Confectionery and Nut Retailers,136,0.00013744483534510276,0.22966835781986045,63.95
5,445298,All Other Specialty Food Retailers,188,0.0005499284885306186,-0.06243573468339143,50.53
5,445320,"Beer, Wine, and Liquor Retailers",287,0.0010573615121097963,-1.138399574487036,10.78
5,449110,Furniture Retailers,253,0.0011917316215890822,-0.8433295540853546,18.92
5,449121,Floor Covering Retailers,264,0.00043009448976771386,-0.8708759803960604,18.29
5,449122,Window Treatment Retailers,106,8.500240276058985e-05,0.8371014359144527,80.34
5,449129,All Other Home Furnishings Retailers,125,0.0007950403570390032,1.1397115198049856,86.68
5,449210,Electronics and Appliance Retailers,113,0.0023478859114248116,-0.023448972212520913,53.17
5,455110,Department Stores,140,0.005864156179002372,0.2634367984599626,65.33
5,455211,Warehouse Clubs and Supercenters,415,0.009644910235328734,-1.1772603937384036,9.83
