geo_aggregation_level,from,to,weight
1,115310,238110,0.27055067837190744
1,212321,238110,0.30965682362330404
1,221122,238110,0.40107671601615075
1,221310,238110,0.329608938547486
1,236115,238110,0.5167525773195877
1,236117,238110,0.3974461292897047
1,236118,238110,0.4900426742532006
1,236220,238110,0.34477254588986433
1,237110,238110,0.4676775738228252
1,237130,238110,0.32881085395051873
1,237210,238110,0.2490023942537909
1,237310,238110,0.363926576217079
1,237990,238110,0.35355147645650437
1,212321,238120,0.2421784472769409
1,236117,238120,0.2630480167014614
1,236220,238120,0.27135135135135136
1,237110,238120,0.2459983150800337
1,237130,238120,0.2879640044994376
1,237310,238120,0.26262626262626265
1,238110,238120,0.27294493216280924
1,111000,238130,0.30853658536585366
1,112000,238130,0.31529411764705884
1,113310,238130,0.30724213606437456
1,114210,238130,0.3055555555555556
1,115112,238130,0.3270963270963271
1,115115,238130,0.31166666666666665
1,115210,238130,0.35283136278780336
1,115310,238130,0.31828193832599116
1,212321,238130,0.3590308370044053
1,221122,238130,0.275235531628533
1,221310,238130,0.2876064333017975
1,236115,238130,0.4007731958762887
1,236117,238130,0.4123173277661795
1,236118,238130,0.40327169274537694
1,236220,238130,0.35243243243243244
1,237110,238130,0.36394271272114576
1,237130,238130,0.32048458149779735
1,237210,238130,0.2566079295154185
1,237310,238130,0.3191919191919192
1,237990,238130,0.32558139534883723
1,238110,238130,0.4317637669592977
1,238120,238130,0.2577092511013216
1,111000,238140,0.3103658536585366
1,112000,238140,0.31941176470588234
1,113310,238140,0.37527432333577176
1,114210,238140,0.32755298651252407
1,115112,238140,0.3153153153153153
1,115115,238140,0.3227777777777778
1,115210,238140,0.36776602364654637
1,115310,238140,0.31695568400770713
1,212321,238140,0.33622350674373797
1,221122,238140,0.3122476446837147
1,221310,238140,0.3434247871333964
1,236115,238140,0.4207474226804124
1,236117,238140,0.40366088631984587
1,236118,238140,0.4672830725462304
1,236220,238140,0.3265895953757225
1,237110,238140,0.396798652064027
1,237130,238140,0.2861271676300578
1,237210,238140,0.24084778420038536
1,237310,238140,0.34585741811175336
1,237990,238140,0.33140655105973027
1,238110,238140,0.44772545889864324
1,238120,238140,0.2610789980732177
1,238130,238140,0.43352601156069365
1,221210,238150,0.24926253687315633
1,236117,238150,0.2599164926931106
1,236220,238150,0.25513513513513514
1,237110,238150,0.2493681550126369
1,237210,238150,0.2566929133858268
1,237310,238150,0.25656565656565655
1,238110,238150,0.24102154828411812
1,238120,238150,0.30229007633587784
1,238140,238150,0.2658959537572254
1,111000,238160,0.25
1,112000,238160,0.24411764705882352
1,113110,238160,0.2430806257521059
1,113310,238160,0.25603511338697876
1,114210,238160,0.2705761316872428
1,115112,238160,0.25363825363825365
1,115210,238160,0.27940261356565027
1,115310,238160,0.2588888888888889
1,212321,238160,0.3105446118192352
1,221122,238160,0.2550471063257066
1,221310,238160,0.28382213812677387
1,236115,238160,0.3382731958762887
1,236117,238160,0.35490605427974947
1,236118,238160,0.33214793741109533
1,236220,238160,0.31027027027027027
1,237110,238160,0.32771693344566133
1,237130,238160,0.3228346456692913
1,237210,238160,0.28399518652226236
1,237310,238160,0.32323232323232326
1,237990,238160,0.2917547568710359
1,238110,238160,0.3607342378292099
1,238120,238160,0.3285198555956679
1,238130,238160,0.40308370044052866
1,238140,238160,0.35645472061657035
1,238150,238160,0.32250300842358604
1,111000,238170,0.4036585365853659
1,112000,238170,0.39647058823529413
1,113310,238170,0.44111192392099485
1,114210,238170,0.29262295081967216
1,115112,238170,0.4248094248094248
1,115115,238170,0.38722222222222225
1,115210,238170,0.42563783447417547
1,115310,238170,0.3
1,212321,238170,0.2967213114754098
1,221122,238170,0.3855989232839839
1,221310,238170,0.3319672131147541
1,236115,238170,0.48195876288659795
1,236117,238170,0.4065573770491803
1,236118,238170,0.4701280227596017
1,236220,238170,0.330327868852459
1,237110,238170,0.419672131147541
1,237130,238170,0.30901639344262294
1,237310,238170,0.34672131147540985
1,237990,238170,0.32786885245901637
1,238110,238170,0.5035913806863528
1,238120,238170,0.25573770491803277
1,238130,238170,0.4237704918032787
1,238140,238170,0.45
1,238160,238170,0.3540983606557377
1,111000,238190,0.2939024390243902
1,112000,238190,0.3335294117647059
1,113110,238190,0.24260355029585798
1,113310,238190,0.3306510607168983
1,114210,238190,0.39349112426035504
1,115112,238190,0.3146223146223146
1,115115,238190,0.3572222222222222
1,115210,238190,0.3671437461107654
1,115310,238190,0.3145956607495069
1,212321,238190,0.3165680473372781
1,213112,238190,0.2682445759368836
1,221122,238190,0.3546433378196501
1,221310,238190,0.445600756859035
1,236115,238190,0.37242268041237114
1,236117,238190,0.4260355029585799
1,236118,238190,0.3492176386913229
1,236220,238190,0.3214990138067061
1,237110,238190,0.38416175231676497
1,237130,238190,0.3333333333333333
1,237210,238190,0.26331360946745563
1,237310,238190,0.33037475345167655
1,237990,238190,0.3599605522682446
1,238110,238190,0.37749401436552277
1,238120,238190,0.2869822485207101
1,238130,238190,0.3510848126232742
1,238140,238190,0.3603082851637765
1,238150,238190,0.27712031558185407
1,238160,238190,0.33826429980276135
1,238170,238190,0.3524590163934426
1,111000,238210,0.25914634146341464
1,112000,238210,0.2641176470588235
1,113310,238210,0.2677395757132407
1,114210,238210,0.28497942386831276
1,115112,238210,0.26126126126126126
1,115115,238210,0.26
1,115210,238210,0.2912258867454885
1,115310,238210,0.27747551686615884
1,212321,238210,0.32861806311207836
1,221122,238210,0.2860026917900404
1,221310,238210,0.3169347209082308
1,236115,238210,0.3485824742268041
1,236117,238210,0.4196242171189979
1,236118,238210,0.3406827880512091
1,236220,238210,0.3643243243243243
1,237110,238210,0.35383319292333615
